,id,imdb_rating,imdb_votes,number_in_season,number_in_series,original_air_date,original_air_year,production_code,season,title,us_viewers_in_millions,views,season_group
531,100,8.4,1118.0,19,100,1994-04-28,1994,1F18,5,Sweet Seymour Skinner's Baadasssss Song,19.7,66406.0,1.0
532,101,8.2,1103.0,20,101,1994-05-05,1994,1F19,5,The Boy Who Knew Too Much,15.5,74427.0,1.0
533,109,9.0,1690.0,6,109,1994-10-30,1994,2F03,6,Treehouse of Horror V,22.2,119295.0,1.0
534,128,9.1,1619.0,25,128,1995-05-21,1995,2F16,6,Who Shot Mr. Burns? (Part One),15.0,86070.0,1.0
535,155,9.2,2439.0,2,155,1996-11-03,1996,3F23,8,You Only Move Twice,13.9,79609.0,1.0
536,162,8.5,1383.0,9,162,1997-01-05,1997,3F24,8,El Viaje Misterioso de Nuestro Jomer (The Mysterious Voyage of Homer),14.9,64743.0,1.0
537,176,9.2,2256.0,23,176,1997-05-04,1997,4F19,8,Homer's Enemy,11.8,74177.0,1.0
538,182,8.1,1019.0,4,182,1997-10-26,1997,5F02,9,Treehouse of Horror VIII,10.9,30963.0,1.0
539,185,7.7,905.0,7,185,1997-11-16,1997,5F04,9,The Two Mrs. Nahasapeemapetilons,11.4,19419.0,1.0
540,209,7.6,901.0,6,209,1998-11-15,1998,AABF02,10,D'oh-in' in the Wind,8.3,45779.0,1.0
541,256,8.0,836.0,8,256,2000-12-17,2000,CABF06,12,Skinner's Sense of Snow,15.9,56755.0,2.0
542,257,8.0,899.0,9,257,2001-01-07,2001,BABF22,12,HOMR,18.5,68784.0,2.0
543,266,8.6,1095.0,18,266,2001-04-29,2001,CABF14,12,Trilogy of Error,14.4,53728.0,2.0
544,291,8.0,701.0,22,291,2002-05-22,2002,DABF17,13,Poppa's Got a Brand New Badge,8.2,53639.0,2.0
545,292,7.6,752.0,1,292,2002-11-03,2002,DABF19,14,Treehouse of Horror XIII,16.7,71817.0,2.0
546,495,8.2,905.0,9,495,2011-12-11,2011,NABF18,23,Holidays of Future Passed,6.43,69460.0,3.0
547,558,7.9,977.0,6,558,2014-11-09,2014,SABF16,26,Simpsorama,6.7,48223.0,3.0
548,578,7.5,462.0,4,578,2015-10-18,2015,TABF22,27,Halloween of Horror,3.69,196.0,3.0
549,594,6.7,193.0,20,594,2016-05-08,2016,VABF14,27,To Courier with Love,2.52,192.0,3.0
550,3,7.5,1709.0,3,3,1990-01-21,1990,7G03,1,Homer's Odyssey,27.5,78072.0,1.0
551,235,7.3,809.0,9,235,1999-12-19,1999,BABF07,11,Grift of the Magi,7.76,48070.0,2.0
552,250,7.4,803.0,2,250,2000-11-05,2000,BABF20,12,A Tale of Two Springfields,16.2,40990.0,2.0
553,253,7.2,762.0,5,253,2000-11-26,2000,CABF04,12,Homer vs. Dignity,15.0,44005.0,2.0
554,282,6.5,623.0,13,282,2002-03-10,2002,DABF09,13,The Old Man and the Key,14.5,41049.0,2.0
555,307,7.1,555.0,16,307,2003-03-30,2003,EABF11,14,'Scuse Me While I Miss the Sky,12.6,43756.0,2.0
556,324,7.1,575.0,11,324,2004-02-08,2004,FABF06,15,Margical History Tour,8.9,42492.0,2.0
557,348,7.0,530.0,13,348,2005-03-20,2005,GABF07,16,Mobile Homer,8.49,45489.0,2.0
558,351,7.4,661.0,16,351,2005-05-01,2005,GABF10,16,Don't Fear the Roofer,11.92,41620.0,2.0
559,369,7.4,642.0,13,369,2006-03-12,2006,HABF06,17,The Seemingly Never-Ending Story,9.72,48854.0,2.0
560,371,6.5,854.0,15,371,2006-03-26,2006,HABF08,17,"Homer Simpson, This Is Your Wife",10.09,41323.0,2.0
561,374,6.7,549.0,18,374,2006-04-23,2006,HABF11,17,The Wettest Stories Ever Told,7.04,42280.0,2.0
562,403,7.2,637.0,3,403,2007-10-07,2007,JABF21,19,Midnight Towboy,7.7,35926.0,2.0
563,426,7.1,599.0,6,426,2008-11-16,2008,KABF19,20,Homer and Lisa Exchange Cross Words,8.52,38879.0,3.0
564,441,7.2,648.0,21,441,2009-05-17,2009,LABF12,20,Coming to Homerica,5.86,6477.0,3.0
565,445,7.3,671.0,4,445,2009-10-18,2009,LABF14,21,Treehouse of Horror XX,8.59,66209.0,3.0
566,458,6.7,482.0,17,458,2010-04-11,2010,MABF08,21,American History X-cellent,5.65,44645.0,3.0
567,460,6.9,511.0,19,460,2010-04-25,2010,MABF14,21,The Squirt and the Whale,5.94,40632.0,3.0
568,468,7.1,680.0,4,468,2010-11-07,2010,MABF16,22,Treehouse of Horror XXI,8.19,61954.0,3.0
569,493,6.8,493.0,7,493,2011-11-27,2011,PABF01,23,The Man in the Blue Flannel Pants,5.61,41687.0,3.0
